config,roc_auc,pr_auc,f1,mcc,precision,recall,fpr,source
Dense AE (this notebook),0.662445756914398,0.46294802768123583,0.626228107646305,0.34358324558109066,0.5401621223286662,0.7449186991869918,0.39183673469387753,mdc_baselines.ipynb
Isolation Forest (mean_max pool),0.6741490217099974,0.44636913494303915,0.710387323943662,0.5034251465813259,0.6265527950310559,0.8201219512195121,0.3020408163265306,mdc_drift_aware.ipynb
vNext default (Transformer AE),0.6889160636111856,0.5086027803151792,0.6603424340583064,0.4233525383108315,0.6062022090059473,0.7251016260162602,0.2910518053375196,mdc_model_vNext.ipynb
vNext HPO best (Transformer AE),0.8446074395987289,0.7075289458954636,0.8030176026823135,0.7080336529836047,0.8919925512104283,0.7301829268292683,0.054631083202511775,mdc_model_vNext.ipynb
