config,roc_auc,f1,recall,mcc,fpr,fpr_last_half,f1_last_half,recall_last_half,thr_raw,source,mcc_last_half,f1_gain_last_half,recall_delta_last_half,fpr_reduction_last_half,claim_ok,interpretation,auc_before,auc_after,auc_delta
Fixed threshold (stream),0.7011064266165197,0.5733229329173167,0.7469512195121951,0.4120425732485725,0.27901601452864455,0.27673438098888464,0.682367524016114,0.7841880341880342,-0.20853570103645325,§5 stream (offline thr),,,,,,,,,
Adaptive threshold (stream),,,,,,0.20352625527021848,0.7091394262841895,0.7571225071225072,,§5 adaptive,0.5395747793239175,0.026771902268075465,-0.027065527065527006,0.07320812571866617,True,adaptive_supported,,,
Fine-tune on drift slice,,,,,,,,,,§6 fine-tune,,,,,,,0.7194121454593939,0.7419687836703218,0.022556638210927904
