horizon,best_val_loss,test_clean_mape_mean,test_injected_mape_mean,persist_clean_mape_mean,ses_clean_mape_mean,persist_injected_mape_mean,ses_injected_mape_mean,static_spike_mape_mean,static_normal_mape_mean,n_spike_windows,n_windows
1,0.0003287892333254636,0.08195061119405521,0.13159268712837952,0.054986364115285874,0.06295228839007838,0.13260592471871185,0.14637965372465617,0.23681120364293592,0.08633721710444767,10028,33343
2,0.0006305145328014852,0.20920716797822414,0.2129716107176166,0.10984245705276803,0.11840918486069851,0.26412354573637675,0.27536686175902686,0.35255948143821536,0.15215135306080735,10119,33343
3,0.0010123140919963084,0.20602307076822904,0.2622194475597813,0.1648023922183347,0.17304257566455272,0.39559012049358866,0.41201708307354945,0.4626845329070056,0.17374201180155027,10210,33343
