config,roc_auc,f1,mcc,source
vNext default,0.6889160636111856,0.6603424340583064,0.4233525383108315,metrics_vnext.json
vNext multi-seed (mean),0.7261136849987024,0.7257865324748707,0.5592444779510907,metrics_vnext.json
vNext HPO best,0.8446074395987289,0.8030176026823135,0.7080336529836047,metrics_vnext.json
Dense AE (this notebook),0.662445756914398,0.626228107646305,0.34358324558109066,mdc_baselines.ipynb
Isolation Forest (mean_max pool),0.6741490217099974,0.710387323943662,0.5034251465813259,mdc_drift_aware.ipynb
vNext default (Transformer AE),0.6889160636111856,0.6603424340583064,0.4233525383108315,mdc_model_vNext.ipynb
vNext HPO best (Transformer AE),0.8446074395987289,0.8030176026823135,0.7080336529836047,mdc_model_vNext.ipynb
